		Russia	Russia	Russia	Russia	China	China	China	China	France	France	France	France	Italy	Italy	Italy	Italy	Germany	Germany	Germany	Germany	Norway	Norway	Norway	Norway	Spain	Spain	Spain	Spain	UK	UK	UK	UK	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Australia	Australia	Australia	Australia	Canada	Canada	Canada	Canada	Brazil	Brazil	Brazil	Brazil	US	US	US	US	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Africa	Africa	Africa	Africa
Russia	Animal products nec	21.8659260984	0.0908180041383	40.0068896754	4.79944791529	0.995495882739	7.83530647657e-05	21.9025081835	0.408269472884	0.681323138434	0	0	0.0266145399125	0	0	0	1.44456878025	3.72067545691	0	0	0.108682975662	0.0046533352746	0	0.000715557432768	8.27254366027e-05	0	0	0	0	0	0	0	0	16.8394610935	5.45182591858	3.83371394762	0.845085773418	8.92695829876	0.0238868464094	1.55873669985	0.106610583622	0	0	0	0	0.348670245793	0	0	0.000221376060459	0	0	0	0	3.56128082096	0	0	0.0383883138661	0.0901644710691	0	0	0	0	0	0	0
Russia	Raw milk	430.42386476	64.5602705128	3.10282181779	568.891131565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Products of forestry, logging and related services (02)	4468.30994519	1.43059563416	14.3908032211	198.129722801	92.4455691577	0.203838021249	0	8.91166200982	0.0162908232862	0	0.00977057426637	0.00690047821227	0	0.00207332815348	0	0.000654034533546	7.45131418537	0	0	0.0598803005576	0	0	0.0852344311523	0.0979551923614	0.00221774755457	0	0	0.00509504864042	0	0	0	0	44.5078087139	0.13442971666	28.0039371396	38.8284518839	10.3137681689	0.00230454845707	1.04028096903	2.06759560575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000180713182488	0	0	0	0	2.20252475458e-06	2.83196651536e-07	0	6.03503633434e-09
Russia	Fish and other fishing products; services incidental of fishing (05)	886.381886791	0.0212287253201	2.12675032607	14.9143809316	0.787778284252	0.00123022226886	0	0.0131670642484	0.0463406099703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501456296904	0	0	0	0	0	0	0	0.779955702174	0.000323951694569	0	0.00597003769854	35.3987709874	2.16892384026e-05	0	1.0226247667	0	0	0	0	0.991022347266	0	0	0.050325674951	0	0	0	0	0.117590746958	0	0	0.000235409506264	0	0	0	0	0	6.40169739815e-08	0	8.87822262188e-10
Russia	Coal, peat	183.480506439	26.8660492605	3.19449725821e-08	209.107415428	0.0855279158258	0	1.69437271814e-11	0.825441901169	0.531446037344	0	0	0.617007779858	0.0181047762895	0	2.33903202088e-05	0.00222824189286	21.8963925027	0	0	1.32481813589	0	0	0	0	0.000612719464197	0	0	1.24546819781	0	0	0	0	151.716150993	8.04914900831	0.126624415537	7.67449232784	44.1446755285	53.0239463662	0.11839571243	4.67095812535	0	1.01886500524e-07	2.47372196054e-06	1.3046080164e-07	0	0	0.00625726023115	0.000186761952958	0	0	0	14.2735184218	2.22667795054e-12	0	9.80001399519e-12	0	0.718863697615	0	0	0	85.4142400804	0.0723201164607	1.06309589523	0.000397900385435
Russia	Crude petroleum and services related to crude oil extraction, excluding surveying	0	511.319082636	0	1068.48447689	0	0	0	33.0564934946	0	0	0	0.0409891901901	0	0	0	0	0	0	0	0	0	0	29.2937999452	0.336519094339	0	0	0	0.11361894427	0	0	0	0	0	0	180.427258057	8.64395724358	0	0	244.161986969	1.74248701279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.9039145476	0.34360607514	0	0	2.00574823963	0	0	1.92947857675e-05	0	0
Russia	Natural gas and services related to natural gas extraction, excluding surveying	1487.7360746	227.90494268	0	1575.03757123	0	0	1.70368436383e-10	0	0	0	0	0	0	0	0	14.0742887425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413.27531075	0.0623914675438	182.129592394	5828.89465431	210.495110723	1.21164984254e-07	549.473959659	1.89870328994e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Mining & Quarrying	265.775386165	410.34604214	0	1622.33857193	0	0	0	3.60384954455	0	0	0	0.0727952072115	0.00365189692567	0	0	0.00278921595557	0	0	0	0.0186095604871	0	0	0	0.303342624616	0.00957047574923	0	0	0.0205622670853	0	0	0	0	65.13835858	15.2045196481	0.0113758756427	362.374107856	9.94391212433	0.00358079939757	0.430825061314	108.286672126	1.61729053478e-06	8.57277179295e-09	4.3459742243e-05	9.94031702089e-07	0.00982366452991	0	0	0.00494312597657	0	0	0	0.000244881084086	0.161892521072	0	0.00060024915768	0.884955590376	0.000257703384423	0	0.00507168571955	0.0263395743014	0.00139403054543	0.000364288151343	0	0.0673478640248
Russia	Meat products	1129.96747414	17.8702883416	0	251.928996112	0.0505613262131	0	0	6.53323047445e-05	0.235175915561	0	0	0.00069366571447	0.0146652893056	2.64361954958e-08	0	8.03845825676e-05	0.0266024608233	6.10186227725e-06	0	0.000146031371227	0.0527096324447	0	0	0.000188876363472	0	0	0	0	0	0	0	0	24.4653836996	0.00242414745093	0	0.0095847904876	84.9683669926	0.00815676635865	0	0.00179742386201	0.00625846707497	0	0	4.1580218718e-07	0.00379513377118	0	0	1.23754100168e-05	0	0	0	0	0.00406470030034	0	0	8.90536834666e-06	0.785452440442	0	0	0	0.533810266846	3.22786585123e-06	0	7.47067271334e-08
Russia	products of Vegetable oils and fats	1614.47575737	6.05355344866	0	1239.80525631	9.96631259024	0	0	0.843004698145	0.908774169999	0	0	0.0916460187618	5.93448114275	0.000375200093652	0	0.705134060537	2.56781626399	0.00161759034485	0	0.228567178192	80.7601283284	0	0	0.684131492199	7.43389166816	0	0	0.329416467864	0	0	0	0	224.788634034	0.0193438527969	0	2.75262753928	184.122321072	0.0924800338865	0	696.685465091	0.21275958976	0	0	0.00143392606063	0	0	0	0.000222611333196	0	0	0	0	0.193048205923	0	0	0.000519846328959	0.27116044065	0	0	0	151.329544189	0.0164570834784	0	1.85300096028e-06
Russia	Dairy products	3626.67208839	10.3457042759	0	346.39759531	0	0	0	0.104242884769	0.0830536704501	0	0	0.000305516579504	0.0236615059223	0	0	0.000386756686631	0.274740766881	0.000208533599373	0	0.00334189512896	0.0251584654381	0	0	5.01673818681e-05	0	0	0	0	0	0	0	0	54.7606673667	0.000301956748951	0	0.00936984262416	173.555941334	0.00500684597725	0	0.00260083216034	0	0	0	0	0.00645334994384	0	0	2.0258144861e-05	0	0	0	0	0.297715097933	0	0	0.000608359230154	0.0640958083534	0	0	0	0.136530056103	1.36435655356e-06	0	4.55072647753e-08
Russia	Other food, beverages, tobacco	72068.4113856	720.836044514	0	4092.4509915	1758.75665536	0	0	0.901074175173	18.6372191887	0	0	0.0612234809991	14.8169146286	0.000439134821283	0	0.236582925482	70.2509080299	0.389786582361	0	0.974345654036	72.8659225522	0	0	0.329980532536	18.6064007892	0	0	0.289388288736	0	0	0	0	998.280249783	1.83794525479	0	11.2011328717	4429.51070457	4.23409981674	0	14.2419733793	4.99313922098	0	0	0.00807187736968	13.5117311958	0	0	0.510944564853	2.88267950501	0	0	0.00316455178876	69.6649378454	0	0	0.316214399873	17.4680307631	0	0	0.00893439283858	60.8768737033	0.0378934697509	0	0.0049855065879
Russia	Textiles, apparel, furs, leather	12827.512838	23.9657605855	0	400.846590901	0.871262388449	0	0	0.579560604729	19.9661367403	0	0	0.170230445871	51.3754223355	0	0.266643775737	0.905994160302	30.6654528075	0	0.399102425679	0.0454870757914	1.96575216742	0	0.0176222379684	0.0369673718686	30.3947801518	0	0.000234591109207	0.0443862311526	0	0	0	0	245.119119327	0.573505474356	1.46509228006	41.9212684667	330.536327064	0.657000010469	14.1719846239	1.46830128065	0.258763561468	0	0.0316840938458	0.000659203899051	2.16398191104	0	0.00139651191468	0.00479597879166	0.0877674426369	0	0	8.00436642633e-05	13.5196734128	0	0.0113816405902	0.0611453228738	3.0926267957	0	0.0901789818056	0.00665596617671	7.71268892344	0.00159253828261	0.300172672278	0.00071043323033
Russia	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials	134.004047293	0.795839909132	828.46287571	339.122661923	4.98549371649	0	3.36255548351	0.287572745204	14.0117510296	0	0	0.115481162553	6.67628732658	0	4.31907892552	0.100159701725	127.758977738	0	59.3413648824	1.19528861279	0.0685772191788	0	0.070382254446	0.248588267389	0.62224784337	0	0.00881893834586	0.00976797739097	0	0	0	0	99.3737468225	0	19.1488697175	14.1072907185	607.893359045	0.109427215311	950.606890691	8.96428181569	0.181135289347	0	0.274122570342	0.201636091978	0.229604376847	0	0.567775272896	0.0812761293643	0.0604479402755	0	0.00449175490299	0.00331568077405	17.974729829	0	2.93610192375	1.22056470458	0.838670198512	0	0.476879236719	0.0542832037963	1.86647148209	4.42421836608e-05	1.18366705753	0.0101803218039
Russia	Pulp	0	7.1191437013	0	1350.82063326	0	0	0	0	0	0	0	0	0	0	0	0.000898684367068	0	0	0	0.005361245048	0	0	0	0	0	0.000250122234099	0	0.000739187666301	0	0	0	0	0	0.0438496431958	0	8.11410525253	0	1.05205032697	0.00240938482783	2.47960520222	0	0	0	7.27707145866e-07	0	0	0	0	0	0	0	0.179484975229	0	0	0	9.58527033346e-05	0	0	0	0	0	0.001188428698	0	0.000125684180263
Russia	Paper and paper products	1913.29746705	38.6411859199	0	689.14951593	3.2680205317	0	0	0.310061685868	1.90904017682	0	0	0.0393299875602	0	0	0	2.90064536377	0	0	0	0.203642600764	0	0	0	0.0238673212151	2.84890918749	0.00622362626003	0	0.0248970978109	0	0	0	0	64.0016360978	385.496677732	5.43188281452e-05	2.00834808904	773.206229723	5.05530987633	0	15.5722019276	0.243781851212	0	0	0.000166755920252	1.41894689679	0	0	0.0108237915155	1.32132691542	0	0	0.000571793537089	1.04803250515	0	0	0.0037731548246	27.5497482464	0	0	0	33.999851503	0.000149349482914	0	0.049413194401
Russia	Printed matter and recorded media (22)	2355.72913429	60.792005242	30.1829181469	100.98929254	0	0	0	0	1.77901524781	0	0	0.00412692316125	0.699913587729	0	0.164308644666	0.00740657263495	0	0	0.00488222867929	0.0220029891372	0.00795874897809	2.21118551918e-05	0	0.000344076264536	0.110107808439	0	0	0.000213520900457	0	0	0	0	80.0054061924	0.0236559429832	0.228215757369	1.25753462663	548.368441107	28.540458809	15.3768522646	16.7262085839	0	2.97228533812e-06	0	0.000198918463206	0.348672172371	0	0.000183808720566	0.00162360741926	0.00620404667187	0	0	1.87746653797e-05	9.0023693813	0	0	0.00969399101839	0.100674832267	0.000175945920332	0.00793910796774	0.000182648030829	30.5827259254	0.0090919182776	0.677726026307	0.000923444634658
Russia	Coke and Tar	0	287.487212345	0	53.3145384124	0	0	0	0	0	0	0	0.0810743095804	0	0	0	0	0.0743529973027	2.5078737058e-05	0	0.0469979213208	0	0	0	8.28987055219	0	0	0	0.000388477828009	0	0	0	0	11.886632915	0.00109809592675	0	4.58233577536	8.25829601994	0.00360279532785	0	0.509650147981	0	0	0	0	0	0	0	0	0	0	0	0	3.6136984066e-09	0	0	0	0	0	0	0	0	0	0	0
Russia	Petroleum products	9532.36034728	179.388244349	0	1607.99739637	0.108094496093	0	0	16.3240878846	453.157816334	0	0	3.44229239384	436.994417922	0	0	0.274639189053	134.357528189	0.813056515629	0	130.7884936	9.93265225065	0	0	3.5694182139	35.0829948893	0	0	1.25418063623	0	0	0	0	3288.72776989	29.5023769465	0	1110.19046789	2815.32513514	9.09356298961	0	25.4432206302	2.78433556733	0	0	0.00885996847589	26.888004419	0	0	0.0905258807915	0.00661617482248	0	0	5.20186440896	532.126465945	0	0	0.515632525024	129.310785028	0	0	2.68785470271	56.6109382037	0.0594947251626	0	0.00299018926145
Russia	Nuclear fuel	0	0	0	20.9371640187	0	0	0	0.132849208969	0	0	0	21.5905637239	0	0	0	2.07182126221e-06	0	0.01721716104	0	69.2074838073	0	0	0	0.00260016950946	0	0	0	0.0457064990959	0	0	0	0	0	0.00348080119252	1.500112977e-08	2.38667837721	0	45.3321822554	0.795562455302	1.74813304534	0	0	0	0.000166535141321	0	3.39848521737e-05	0	0	0	0	0	1.07825367126	0	0	1.75554540282e-08	0	0	0	0	0.0655958567886	0	9.4338497281e-05	0	3.57865662473e-08
Russia	Plastics, basic	0	133.24084022	0	153.717928998	0	0	0	2.41328202073	0	1.2682262339	0	9.97789066957e-05	0	0.000984518991704	0	1.69026340198e-05	0	27.1579101235	0	0.000704197092485	0	0	0	0	0	0.264846836413	0	0	0	0	0	0	0	66.3056132953	0.269747364205	8.30533064771	0.00622493852028	31.9654829299	0.00661964088745	0.792947114875	0	0	7.32908167957e-05	0.000218165590714	0	0	0	0.929950665152	0	0	0	7.00967025934e-05	0	0	0	3.32169952418e-05	0	0	0	0.0176488470649	0.00123645876677	0.026966524695	0.00158772677663	0.0612742643526
Russia	N-fertiliser	5.90682129664	0.0752697678727	0	1.21385213104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103805113726	0.0169803649134	0.00253324919071	0.0360912091039	3.82286334603e-05	0.0487221995865	0.0193676817931	0	0.00257512197577	0	0	0	0	4.23220055654	2.84842711929	0.000219952174136	0.422431633129	0.000696246616372	0	0	0	0	0	0	0	0	0	0	0	0.0278555041286	0	0	0.00318323425759	0.308779517017	0	0	0.0018392113436	2.94769795484	0	0	0.00105179062687	3.24980356121	0.0247188224303	0	2.08220856284e-05
Russia	P- and other fertiliser	175.296359554	1.92264775223	0	1029.24521252	4.12764579493	0	0	15.4513181105	0.471729745462	1.96753785422	0	0.00686461760491	0	0	0	0.0321412091688	8.83864459752	0.102124392468	0	0.0180134859908	0.294082705646	0.197688895209	0.411287688857	0.0233983138092	0.86636152175	0.285015939574	0	0.04613928994	0	0	0	0	135.107759874	64.8056951279	0.156693246664	11.9093326846	7.11487768669	0.00181854509231	0	13.2967445325	0	0	0.000567841781263	0.00195929305755	3.92024590684	0	0	0.0148123718227	2.81367936554	0	0	11.791748595	9.75576548787	0	0	0.0241553168632	25.2327024921	0	0	0	19.3439458447	0.175570169536	0	0.13235003209
Russia	Chemicals nec	6671.88666671	44.3746127762	0	540.509031989	32.4119235314	0	0	4.41414449444	25.1667131745	9.47313755426	0	0.0320145615756	0	0	0	0	0	0	0	0.0243847316972	0	0	0.0709316064145	0.0285185560246	15.1816118976	0.422110230612	0	0.0642906535617	0	0	0	0	1392.76910449	173.616709675	0.30890756825	23.2785021723	2487.7251398	23.2812715982	0	23.2017070707	0	8.27962857612	0.000410619402889	9.0857298494	0	0	0	0.369489091472	63.1670304101	0	0	0.124961380033	185.028903643	0	2.28891560542	0.0483390189829	173.662630266	0	0	0	67.2433188038	0.00177996811191	0	0.0794061183761
Russia	Charcoal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Biofuels	1.28662948906	0.00208479169068	0	2.05366522033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Rubber and plastic products (25)	0	0	0	36.6456741963	0.401730501461	0	0	0.0896431893873	4.63373137426	0	0	0.018075104504	25.003885067	0	0.129518497028	0.0975321485165	41.8639998116	0	1.85810097943	0.56286357626	6.55481649485	0	0.00821481091666	2.26293250141	1.39348481183	0	0.0168405396101	0.0123916121403	0	0	0	0	228.504323407	0.0033046426902	1.93894889772	2.36521694473	253.949115232	0.0283887896644	36.4183679807	1.03474970557	0.403300688665	0	0.0678091109793	0.00178338590353	15.8445918474	0	0.0196827787799	0.471907294864	0.556835841296	0	0	1.79712314955e-05	27.0225456437	0	0.00942935525172	0.535149334865	9.69768828316	0	0.287851262612	0.0243574093154	5.33896064856	1.32145926497e-06	0.210659298491	0.0115093349268
Russia	Glass, tiles, ceramics, bricks	647.694105679	45.1994913553	0	470.80679541	0.00016749040634	0	0	0.00616861177847	0.0639083488886	0	7.59360668611e-05	0.0129767779374	0.118544569583	0	0.194319952975	0.0238047752283	6.55268384192	0	0.119285252993	0.601408519422	0	0	0.0827392869763	0.12590361463	0.0842377474947	0	0.000234989045157	0.00467168722324	0	0	0	0	23.3894669018	0	0.0745701600014	0.953722201021	104.289434392	0.00523498437558	0.85050316469	0.24792359521	0.831927997476	0	0	0.00586758102374	0.205671357306	0	0	0.000683916403095	0.000202587015595	0	0	0.00101376220659	7.36991607721	0	0	0.0861858623052	1.00109125902	0	0.00107192279156	0.00901577012774	1.1114940555	1.14751979372e-05	3.88949734612e-06	0.00187694967214
Russia	Cement, lime and plaster	24.9334683075	0	0	581.627267038	3.05323552229e-07	0	0	3.86419942104e-05	1.04705231771e-05	0	0	6.2233680391e-06	0.000109880345212	0	0.000481575694735	0.000107903611901	0.00174171405272	0	0.0009819670975	0.00760902024532	0.00623562844388	0	0.0351925690266	0.0333490704584	3.13584417502e-05	0	1.62431505979e-06	0.000123352793789	0	0	0	0	0.0270039738468	0	0.014472256506	0.0802380956318	0.160611343415	0	1.92192960424e-05	0.00179820955977	0	0	2.71155534246e-06	1.2523751266e-05	1.15392429589e-06	0	0	8.85960589653e-06	0	0	0	0	0.000139001668437	0	0	0.000164693442937	2.4889625078e-07	0	0	0	0.000443059963578	0	0	5.15892784557e-05
Russia	Other non-metallic mineral products	1142.29216381	91.5191867504	0	211.721637817	0.0294442950747	0	0	0.00376555840505	0.285152932234	0	9.66964199208e-06	0.0012575006304	0.354665476521	0	0.0211945632113	0.0038555106914	10.1411744872	0	0.0676951500884	0.183000619028	0.984615766715	0	0.00413770317077	0.00938163116847	0.608316681911	0	0.000385560806729	0.00819054075038	0	0	0	0	165.852420838	0	0.162988005839	1.0840949423	59.6099909679	0.00254557764437	0.11766174513	0.0775310133103	0	0	0	0.000111893410189	0.00640672340062	0	0	0.00115135877728	0.00859937372028	0	0	0.000122561074324	0.575124700365	0	0	0.00626756603697	0.635701469619	0	1.36893973748e-05	0.000360490544286	0.114336666363	6.45781402151e-07	0	0.00397803931975
Russia	Basic iron and steel and of ferro-alloys and first products thereof	71.3608279277	0	0	3.83494875452	0	0	0	0.330727561914	9.11648559173e-05	0	0	0.161195877031	0	0	0.0120534792152	5.3521070844	0	0	3.94330841681	1.71129558358	0	0	0.00812598035723	0.0583614747379	4.22026110898e-05	0	0	0.607009364002	0	0	0	0	0.00663407103385	0	2.02963120041	431.720770479	5.73019137718	0	91.1808479482	40.4819366313	0	0	0	0.00530430751759	0	0	0	0.0258390099592	0	0	0	0.245215736877	6.08400368528	0	0	2.27257791851	2.82459877803	0	13.5527370283	5.38897503574	3.13741465857	0	7.43496625883	0.0105646615471
Russia	Precious metals	0	0	0	151.903843489	0	0	0	0.845638987842	0	0	0	0	0	0	0.0414301432921	1.47370918428	0	0	15.2981585508	1.02096696591	0	0	0	0	0	0	0	0	0	0	0	0	0.0308860459164	0	0.583179412683	10.8617299642	4.24846647574	0	8.51404758616	7.65042918838	0.000641260943838	0	0	0.00132154425259	0	0	0	25.47444044	0	0	0	0.759963685245	0.190211361922	0	0	0.541614550155	0	0	0	0	0	0	0	0
Russia	Aluminium and aluminium products	0	0	0	535.836813752	0	0	0	0.448445873211	0.0252577093669	0	0	0.079488246657	0	0	0.00668224626976	0.655524714387	0	0	3.87709295477	0.849666101419	0	0	0.0583835189766	1.41138377625	0.00208338631667	0	0	0.167590175976	0	0	0	0	0.718457834235	0	0.119158536703	163.166590769	4.19359691792	0	0.422314644893	6.06791907273	0	0	0	0.000685697528765	0.00748531162295	0	0	0.0158858716878	0	0	0	2.35165441728	0	0	0	1.06747054692	0.00883739570046	0	3.13126787573	0.542079999582	4.39332241873e-05	0	0.0312899850559	0.0259229392424
Russia	Other metals and products thereof	0	0	0	1212.39229096	0	0	0	28.5969598136	0.379446759506	0	0	0.0740986019966	0	0	0.0165102221615	1.12377835722	0	0	15.3361290895	1.13562160679	0	0	0.000617337768221	0.00667332264092	0.0680457792441	0	0	0.278921925191	0	0	0	0	5.01586661382	0	0.221972826317	383.543984812	4.22622878078	0	54.9767364775	4.93406423757	1.24690115159e-06	0	0	1.56161624726e-06	0	0	0	0.225947938529	0	0	0	0.159793024865	0.120354822639	0	0	0.0698883750476	6.94262099326e-05	0	0	0	1.34724975464e-05	0	0.718415056671	0.462039441349
Russia	Secondary lead for treatment, Re-processing of secondary lead into new lead	0	0	0	117.093318967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
