region	Russia	Russia	Russia	Russia	Russia	Russia	Russia	China	China	China	China	China	China	China	France	France	France	France	France	France	France	Italy	Italy	Italy	Italy	Italy	Italy	Italy	Germany	Germany	Germany	Germany	Germany	Germany	Germany	Norway	Norway	Norway	Norway	Norway	Norway	Norway	Spain	Spain	Spain	Spain	Spain	Spain	Spain	UK	UK	UK	UK	UK	UK	UK	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Australia	Australia	Australia	Australia	Australia	Australia	Australia	Canada	Canada	Canada	Canada	Canada	Canada	Canada	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	US	US	US	US	US	US	US	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Africa	Africa	Africa	Africa	Africa	Africa	Africa
Energy Carrier Use Electricity by coal	43907	0	31934	0	-346	0	0	2428914	0	0	0	-1395	0	0	9374	0	0	0	-368	0	0	36809	0	0	0	-91	0	0	202602	0	1239	0	-4947	0	0	12	0	0	0	0	0	0	47391	0	0	0	-339	0	0	0	0	0	0	0	0	0	448236	4	3220	0	4005	0	0	1233532	205725	241402	0	-12326	0	0	134181	0	0	0	-4	0	0	64902	0	0	0	-3656	0	0	15564	0	0	0	19	0	0	1848730	0	0	0	-410	0	0	63655	0	0	0	1258	0	0	103123	23376	31555	0	-373	0	0
Energy Carrier Use Electricity by gas	152860	0	111177	0	-1204	0	0	142409	0	0	0	-82	0	0	21295	0	0	0	-835	0	0	100700	0	0	0	-249	0	0	69118	0	423	0	-1688	0	0	2538	0	0	0	-55	0	0	51067	0	0	0	-366	0	0	0	0	0	0	0	0	0	327347	6	4135	0	645	0	0	2267924	14047	29496	0	33912	0	0	45643	0	0	0	-1	0	0	68012	0	0	0	-3832	0	0	73920	0	0	0	89	0	0	1761836	0	0	0	-390	0	0	337721	0	0	0	-7687	0	0	179914	0	730	0	-1070	0	0
Energy Carrier Use Electricity by hydro	48156	0	35024	0	-379	0	0	667313	0	0	0	-383	0	0	53186	0	0	0	-2087	0	0	38553	0	0	0	-95	0	0	13641	0	83	0	-333	0	0	129017	0	0	0	-2789	0	0	25956	0	0	0	-186	0	0	0	0	0	0	0	0	0	273385	0	898	0	-8461	0	0	501868	27317	33408	0	-7688	0	0	11303	0	0	0	0	0	0	374596	0	0	0	-21104	0	0	292628	0	0	0	352	0	0	316501	0	0	0	-70	0	0	278791	0	0	0	8905	0	0	119496	82	592	0	-1776	0	0
Energy Carrier Use Electricity by nuclear	56582	0	41153	0	-446	0	0	102264	0	0	0	-59	0	0	427354	0	0	0	-16767	0	0	0	0	0	0	0	0	0	66127	0	404	0	-1615	0	0	0	0	0	0	0	0	0	52859	0	0	0	-379	0	0	0	0	0	0	0	0	0	349446	9	2353	0	9060	0	0	130725	7403	8718	0	-521	0	0	0	0	0	0	0	0	0	105013	0	0	0	-5916	0	0	11985	0	0	0	14	0	0	1047421	0	0	0	-232	0	0	18465	0	0	0	-748	0	0	3759	1251	1681	0	-96	0	0
Energy Carrier Use Electricity by petroleum and other oil derivatives	2593	0	1886	0	-20	0	0	4619	0	0	0	-3	0	0	1873	0	0	0	-73	0	0	10000	0	0	0	-25	0	0	4036	0	25	0	-99	0	0	27	0	0	0	-1	0	0	15436	0	0	0	-111	0	0	0	0	0	0	0	0	0	23067	0	90	0	-121	0	0	720063	4544	10708	0	25311	0	0	5752	0	0	0	0	0	0	7014	0	0	0	-395	0	0	21940	0	0	0	26	0	0	39322	0	0	0	-9	0	0	195550	0	0	0	-1440	0	0	53019	19	241	0	-307	0	0
Energy Carrier Use Electricity by solar photovoltaic	96	0	70	0	-1	0	0	27080	0	0	0	-16	0	0	7092	0	0	0	-278	0	0	19423	0	0	0	-48	0	0	27837	0	170	0	-680	0	0	0	0	0	0	0	0	0	7625	0	0	0	-55	0	0	0	0	0	0	0	0	0	26671	0	203	0	-53	0	0	43817	1115	1331	0	-324	0	0	5045	0	0	0	0	0	0	2849	0	0	0	-161	0	0	48	0	0	0	0	0	0	40462	0	0	0	-9	0	0	2027	0	0	0	28	0	0	893	223	300	0	-15	0	0
Energy Carrier Use Electricity by solar thermal	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5159	0	0	0	-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4470	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Electricity by tide, wave, ocean	0	0	0	0	0	0	0	5	0	0	0	0	0	0	476	0	0	0	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	208	0	0	0	-2	0	0	0	0	0	0	0	0	0	13	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Electricity by wind	42	0	31	0	0	0	0	111233	0	0	0	-64	0	0	20760	0	0	0	-814	0	0	12567	0	0	0	-31	0	0	56934	0	348	0	-1390	0	0	2353	0	0	0	-51	0	0	45498	0	0	0	-326	0	0	0	0	0	0	0	0	0	138923	1	1444	0	-1289	0	0	33336	8467	9929	0	-52	0	0	9701	0	0	0	0	0	0	26028	0	0	0	-1466	0	0	17591	0	0	0	21	0	0	243338	0	0	0	-54	0	0	17081	0	0	0	-520	0	0	5216	232	329	0	-57	0	0
Energy Carrier Use Electricity nec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	4	0	4	0	0	1253	0	1	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Ethane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1186	0	0	0	0	0	0	0	0	0	0	0	0	0	-4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Food products nec	33034	71	509	0	331	0	0	2986206	3356	4606	0	0	0	0	204438	0	1418	0	0	0	0	173097	1163	78	0	-367	0	0	168724	0	697	0	0	0	0	11521	0	0	0	-227	0	0	93176	0	1475	0	0	0	0	0	0	0	0	0	0	0	719499	2401	5764	0	-58633	0	0	6253486	87160	228302	0	-2892	0	0	37588	624	886	0	1347	0	0	68344	0	0	0	-7828	0	0	154313	0	0	0	-2	0	0	356421	0	0	0	-1	0	0	812612	8	258	0	-2054	0	0	4309674	4	15893	0	-104	0	0
Energy Carrier Use Food waste for treatment: incineration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	69	0	-3543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Gas Coke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Gas Works Gas	0	0	0	0	0	0	0	51108	0	0	0	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	102	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	11	19	0	-4	0	0	0	0	0	0	0	0	0
Energy Carrier Use Gas/Diesel Oil	351977	4592	2149	0	-218311	0	0	376614	0	0	0	-737	0	0	612700	0	0	0	117309	0	0	345817	0	0	0	2601	0	0	1320791	0	1183	0	46847	0	0	25005	0	0	0	16716	0	0	559206	0	0	0	42536	0	0	0	0	0	0	0	0	0	2021969	83	100	0	361306	0	0	1977725	22	392	0	361969	0	0	128667	0	0	0	25139	0	0	187433	0	0	0	-56645	0	0	222529	0	0	0	-4513	0	0	3744020	0	0	0	-98406	0	0	580211	0	0	0	25464	0	0	552158	0	40	0	34162	0	0
Energy Carrier Use Gasoline Type Jet Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Heavy Fuel Oil	603	109	208	0	-162520	0	0	0	0	0	0	117677	0	0	134	0	0	0	48599	0	0	40	0	0	0	-13887	0	0	0	0	0	0	33990	0	0	0	0	0	0	27491	0	0	883	0	0	0	40658	0	0	0	0	0	0	0	0	0	469	5	12	0	532840	0	0	12027	0	2	0	863453	0	0	0	0	0	0	-16811	0	0	402	0	0	0	-11984	0	0	0	0	0	0	5621	0	0	0	0	0	0	264776	0	0	2975	0	0	0	174591	0	0	0	0	0	0	57653	0	0
Energy Carrier Use Intert/metal waste for treatment: incineration	0	0	0	0	-21	0	0	0	0	0	0	-142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	113	0	-4153	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Kerosene	0	0	0	0	0	0	0	12768	0	0	0	7849	0	0	6579	0	0	0	9229	0	0	200	0	0	0	16177	0	0	129	0	0	0	291	0	0	1118	0	0	0	5075	0	0	0	0	0	0	-1462	0	0	0	0	0	0	0	0	0	114861	2	8	0	75199	0	0	908323	0	5	0	104385	0	0	0	0	0	0	-1502	0	0	2102	0	0	0	14662	0	0	87	0	0	0	0	0	0	6833	0	0	0	9772	0	0	27450	0	0	0	14751	0	0	153071	0	0	0	122695	0	0
Energy Carrier Use Kerosene Type Jet Fuel	0	0	0	0	123	0	0	0	0	0	0	49119	0	0	4000	0	0	0	24681	0	0	1926	0	0	0	13750	0	0	0	0	0	0	48966	0	0	85	0	0	0	3815	0	0	946	0	0	0	30213	0	0	0	0	0	0	0	0	0	5222	0	1	0	145541	0	0	1139	0	0	0	141302	0	0	0	0	0	0	36960	0	0	0	0	0	0	54187	0	0	0	0	0	0	-4146	0	0	0	0	0	0	57932	0	0	0	0	0	0	12885	0	0	42	0	0	0	25565	0	0
Energy Carrier Use Lignite/Brown Coal	7325	1092	2891	0	102137	0	0	0	0	0	0	0	0	0	0	0	0	0	1767	0	0	0	0	0	0	29	0	0	0	0	0	0	-13603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38420	329	715	0	55663	0	0	47869	1582	3137	0	35217	0	0	0	0	0	0	3900	0	0	266	0	0	0	-11456	0	0	0	0	0	0	10829	0	0	0	0	0	0	-58319	0	0	0	0	0	0	-361	0	0	0	0	0	0	-60	0	0
Energy Carrier Use Liquefied Petroleum Gases (LPG)	147490	107500	5240	0	-3173	0	0	1281246	0	0	0	78169	0	0	38274	0	0	0	-13907	0	0	65783	0	0	0	2766	0	0	32392	0	142	0	3955	0	0	376	0	0	0	20794	0	0	44382	0	0	0	1428	0	0	0	0	0	0	0	0	0	128197	1142	381	0	53274	0	0	1929890	187751	186219	0	262446	0	0	30886	0	0	0	-9372	0	0	14146	0	0	0	5624	0	0	273865	0	0	0	13604	0	0	599651	0	0	0	100960	0	0	584848	0	0	0	-45436	0	0	298119	2	49	0	2417	0	0
Energy Carrier Use Lubricants	0	0	0	0	5664	0	0	0	0	0	0	5914	0	0	0	0	0	0	15079	0	0	0	0	0	0	4279	0	0	0	0	0	0	14865	0	0	0	0	0	0	712	0	0	0	0	0	0	-4034	0	0	0	0	0	0	0	0	0	120	8	12	0	81882	0	0	1538	0	0	0	77719	0	0	0	0	0	0	2305	0	0	0	0	0	0	-8866	0	0	0	0	0	0	9965	0	0	0	0	0	0	38518	0	0	277	0	0	0	-34	0	0	323	0	0	0	8417	0	0
Energy Carrier Use Manure (biogas treatment)	7	0	0	0	0	0	0	1366	2	2	0	0	0	0	1985	0	14	0	0	0	0	4304	29	2	0	-9	0	0	0	0	0	0	0	0	0	264	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10278	30	126	0	-598	0	0	6834	0	0	0	-17	0	0	0	0	0	0	0	0	0	140	0	0	0	-16	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Manure (conventional treatment)	7	0	0	0	0	0	0	1366	2	2	0	0	0	0	1985	0	14	0	0	0	0	4304	29	2	0	-9	0	0	0	0	0	0	0	0	0	264	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10278	30	126	0	-598	0	0	6834	0	0	0	-17	0	0	0	0	0	0	0	0	0	140	0	0	0	-16	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Motor Gasoline	1397065	0	0	0	-3070	0	0	1111068	0	0	0	73115	0	0	206365	0	0	0	59445	0	0	246472	0	0	0	-6459	0	0	769170	0	4	0	17654	0	0	25876	0	0	0	26044	0	0	160714	0	0	0	-806	0	0	0	0	0	0	0	0	0	1490165	0	1	0	16403	0	0	6689296	0	0	0	124230	0	0	426566	0	0	0	-2136	0	0	1111117	0	0	0	-35654	0	0	696884	0	0	0	1372	0	0	13610771	0	0	0	-2131	0	0	2040808	0	0	0	7137	0	0	1341262	0	0	0	18340	0	0
Energy Carrier Use Naphtha	0	0	0	0	-8896	0	0	0	0	0	0	11040	0	0	0	0	0	0	-42945	0	0	0	0	0	0	-18594	0	0	0	0	0	0	15607	0	0	0	0	0	0	-21648	0	0	0	0	0	0	-832	0	0	0	0	0	0	0	0	0	0	0	0	0	-116156	0	0	3	0	0	0	-361157	0	0	0	0	0	0	-1124	0	0	0	0	0	0	-58554	0	0	0	0	0	0	-2893	0	0	0	0	0	0	-900	0	0	0	0	0	0	-31776	0	0	0	0	0	0	-72193	0	0
Energy Carrier Use Natural Gas Liquids	0	0	0	0	48498	0	0	0	0	0	0	0	0	0	0	0	0	0	33741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825495	0	0	0	0	0	0	485323	0	0	0	0	0	0	0	0	0	0	0	0	0	242831	0	0	0	0	0	0	0	0	0	0	0	0	0	19702	0	0	0	0	0	0	2373	0	0	0	0	0	0	-9694	0	0
Energy Carrier Use Natural gas and services related to natural gas extraction, excluding surveying	1590286	45898	139181	0	26873	0	0	714179	225063	334531	0	7656	0	0	233200	62528	130494	0	47908	0	0	456925	81595	172428	0	45743	0	0	514415	93074	218701	0	-29098	0	0	66	24	50	0	1581	0	0	79585	15122	31618	0	-9923	0	0	0	0	0	0	0	0	0	1684692	271784	539449	0	141391	0	0	3881940	125932	268934	0	13999	0	0	86481	24401	35121	0	-15215	0	0	400118	46451	171504	0	-280305	0	0	8624	684	3037	0	31854	0	0	3287829	442741	807392	0	1010987	0	0	669468	3426	5030	0	195962	0	0	324076	36	679	0	57644	0	0
Energy Carrier Use Non-specified Petroleum Products	0	0	0	0	0	0	0	0	0	0	0	6111	0	0	0	0	0	0	-26121	0	0	0	0	0	0	-37850	0	0	0	0	0	0	-24741	0	0	0	0	0	0	23	0	0	0	0	0	0	-5775	0	0	0	0	0	0	0	0	0	15	0	0	0	15002	0	0	6715	0	0	0	244944	0	0	0	0	0	0	-18890	0	0	0	0	0	0	-410094	0	0	0	0	0	0	-12105	0	0	23253	3131	5710	0	2468	0	0	8759	0	0	0	2506	0	0	476	0	3	0	2762	0	0
Energy Carrier Use Nuclear fuel	0	0	0	0	14177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Oil/hazardous waste for treatment: incineration	0	0	0	0	-31	0	0	0	0	0	0	-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Other Bituminous Coal	64229	3879	7185	0	-506500	0	0	1957628	0	0	0	-489140	0	0	624	0	0	0	12913	0	0	0	0	0	0	2792	0	0	3237	0	0	0	-6633	0	0	0	0	0	0	-7400	0	0	22	0	531	0	-60755	0	0	0	0	0	0	0	0	0	292604	6667	2181	0	-318419	0	0	216556	119882	148418	0	-233077	0	0	0	0	0	0	-794953	0	0	0	0	0	0	-54793	0	0	0	0	0	0	3007	0	0	0	0	0	0	617212	0	0	4921	0	0	0	-362052	0	0	144422	1	17	0	-493530	0	0
Energy Carrier Use Other Hydrocarbons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Other Liquid Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	25	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	-150	0	0	0	0	0	0	-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25158	0	0	0	-52119	0	0	0	0	0	0	-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Oxygen Steel Furnace Gas	0	0	0	0	0	0	0	0	0	0	0	2844	0	0	0	0	0	0	-96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Paper waste for treatment: incineration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	69	0	-3532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Paraffin Waxes	0	0	0	0	-74	0	0	0	0	0	0	197	0	0	0	0	0	0	115	0	0	0	0	0	0	168	0	0	0	0	0	0	833	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	2187	0	0	38	0	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	73	133	0	2116	0	0	0	0	0	0	-400	0	0	160	0	0	0	17	0	0
Energy Carrier Use Patent Fuel	0	0	0	0	0	0	0	97883	1	1	0	-1018	0	0	608	0	0	0	-128	0	0	0	0	0	0	0	0	0	4836	0	0	0	-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6617	7	126	0	-1413	0	0	2435	2434	22574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Peat	0	3	7	0	-1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4898	23	941	0	-25279	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	95	0	12	0	0	0	0
Energy Carrier Use Petroleum Coke	0	0	0	0	809	0	0	0	0	0	0	8244	0	0	0	0	0	0	2049	0	0	0	0	0	0	2891	0	0	0	0	0	0	3100	0	0	0	0	0	0	-227	0	0	0	0	0	0	8077	0	0	0	0	0	0	0	0	0	1371	31	116	0	15948	0	0	32	0	0	0	71316	0	0	0	0	0	0	-9469	0	0	0	0	0	0	29737	0	0	0	0	0	0	7343	0	0	0	0	0	0	-5465	0	0	17	0	0	0	24309	0	0	0	0	0	0	6300	0	0
Energy Carrier Use Plastic waste for treatment: incineration	0	0	0	0	-38	0	0	0	0	0	0	-167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	24	0	-2589	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Products of forestry, logging and related services (02)	6983	15	107	0	70	0	0	86894	98	134	0	0	0	0	17273	0	120	0	0	0	0	6755	45	3	0	-14	0	0	4806	0	20	0	0	0	0	3012	0	0	0	-59	0	0	1783	0	28	0	0	0	0	0	0	0	0	0	0	0	125876	1660	751	0	-17789	0	0	946609	16670	42571	0	-137	0	0	3353	56	79	0	120	0	0	38831	0	0	0	-4447	0	0	9393	0	0	0	0	0	0	72948	0	0	0	0	0	0	42886	0	16	0	-140	0	0	1237617	1	4777	0	-31	0	0
Energy Carrier Use Pulp	3552	8	55	0	36	0	0	19594	22	30	0	0	0	0	24089	0	167	0	0	0	0	55446	372	25	0	-117	0	0	40294	0	166	0	0	0	0	3291	0	0	0	-65	0	0	5622	0	89	0	0	0	0	0	0	0	0	0	0	0	119625	256	773	0	-7336	0	0	284954	337	962	0	-121	0	0	2401	40	57	0	86	0	0	14504	0	0	0	-1661	0	0	13165	0	0	0	0	0	0	7227	0	0	0	0	0	0	18719	0	8	0	-64	0	0	333626	0	883	0	-6	0	0
Energy Carrier Use Refinery Feedstocks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10045	0	0	0	0	0	0	-36490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-212400	0	0	0	0	0	0	0	0	0	0	0	0	0	-589026	0	0	0	0	0	0	-82234	0	0	0	0	0	0	-48713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-818966	0	0	0	0	0	0	-31697	0	0	0	0	0	0	-2485	0	0
Energy Carrier Use Refinery Gas	0	0	0	0	0	0	0	0	0	0	0	-2441	0	0	0	0	0	0	0	0	0	0	0	0	0	2574	0	0	0	0	0	0	-6930	0	0	0	0	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9306	0	0	0	0	0	0	13228	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	1155	0	0	0	0	0	0	0	0	0	0	0	0	0	4617	0	0	0	0	0	0	0	0	0
Energy Carrier Use Secondary paper for treatment, Re-processing of secondary paper into new pulp	7	0	0	0	0	0	0	1366	2	2	0	0	0	0	1985	0	14	0	0	0	0	4304	29	2	0	-9	0	0	0	0	0	0	0	0	0	264	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10278	30	126	0	-598	0	0	6834	0	0	0	-17	0	0	0	0	0	0	0	0	0	140	0	0	0	-16	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Steam and hot water supply services	1404213	0	613573	0	-47	0	0	942434	0	0	0	0	0	0	31562	8463	17661	0	13995	0	0	38458	0	0	0	1	0	0	169582	0	789	0	-23	0	0	3733	0	0	0	-325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885714	15	2089	0	-11738	0	0	248054	0	0	0	-6023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Carrier Use Sub-Bituminous Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13946	0	0	0	0	0	0	0	0	0	2158	0	1149	0	46551	0	0	121	15	4967	0	3049402	0	0	0	0	0	0	-1596	0	0	0	0	0	0	65095	0	0	0	0	0	0	11197	0	0	0	0	0	0	314135	0	0	0	0	0	0	-21705	0	0	0	0	0	0	0	0	0
Energy Carrier Use Sugar	537	1	8	0	5	0	0	33324	37	51	0	0	0	0	12140	0	84	0	0	0	0	6059	41	3	0	-13	0	0	7398	0	31	0	0	0	0	267	0	0	0	-5	0	0	1585	0	25	0	0	0	0	0	0	0	0	0	0	0	67176	129	716	0	-4825	0	0	596555	7238	18906	0	-38	0	0	4227	70	100	0	151	0	0	1246	0	0	0	-143	0	0	15564	0	0	0	0	0	0	1809	0	0	0	0	0	0	21048	0	8	0	-64	0	0	146162	0	546	0	-4	0	0
